date,topic_0,topic_1,topic_2,topic_3,sum
Feb 23,0.14551049622760456,0.474602536666118,0.08829933226962758,0.29105781673625775,0.9994701818996079
Feb 24,0.1549951285123825,0.5073286309111047,0.08811527586716461,0.24952531921347063,0.9999643545041225
Feb 25,0.16420756571176576,0.48337517488838694,0.09376592564101263,0.25853605249942074,0.9998847187405859
Feb 26,0.19320882685015123,0.5149431422016003,0.09418045468903335,0.19740774263118063,0.9997401663719655
Feb 27,0.23880190693159054,0.45101016808023797,0.09016493385895452,0.21978036773668483,0.9997573766074679
Feb 28,0.19522350200346297,0.4584749990334907,0.09862991726582812,0.24753441670141424,0.999862835004196
Feb 29,0.21794322747271508,0.4410247955766196,0.09401914841185013,0.24681475297237435,0.9998019244335591
Mar 01,0.22767944122577846,0.4085901036877197,0.0937859624853734,0.26981961744499067,0.9998751248438622
Mar 02,0.21862458973903387,0.43090873636072163,0.09817100368952582,0.2521793623909007,0.9998836921801821
Mar 03,0.222768289823499,0.4309747892629468,0.09410806089413888,0.2519467753941438,0.9997979153747285
Mar 04,0.24426773394824136,0.4082125355464979,0.10526201860625346,0.24217980490668153,0.9999220930076743
Mar 05,0.2219843010886225,0.4449476266896349,0.09662804706919215,0.23627919459474092,0.9998391694421904
Mar 06,0.2157443472816234,0.4177565707942815,0.10054851498473857,0.26571875515511606,0.9997681882157596
Mar 07,0.22870843707795854,0.41416633622323323,0.10258492794573094,0.25434928916288707,0.9998089904098098
Mar 08,0.23114834381182764,0.4157058873239227,0.08919998003593223,0.26370513902469117,0.9997593501963737
Mar 09,0.199900142006092,0.3777684234572038,0.09743195091937222,0.32471661522121587,0.9998171316038839
Mar 10,0.2411793030032646,0.3703181285496795,0.09935003110513828,0.2889640511011981,0.9998115137592805
Mar 11,0.19086196326736102,0.4036934179735164,0.09600411227777167,0.30928730725933706,0.999846800777986
Mar 12,0.1563461101691201,0.3399452980509604,0.09065764710795753,0.41290509034273937,0.9998541456707774
Mar 13,0.17589521222423066,0.35812735227696313,0.08939860183205814,0.3763519880231148,0.9997731543563668
Mar 14,0.1623094878463456,0.37654248435597437,0.1007598248867937,0.3601458183937438,0.9997576154828575
Mar 15,0.18234476033812833,0.34701218834733255,0.10399891186475815,0.3664777851180251,0.9998336456682442
Mar 16,0.13341724630332938,0.4144700459976572,0.11932552671378162,0.3326319838472154,0.9998448028619835
